rank,name,typ,wsk,ind_01,ind_02,ind_03,ind_04,ind_05,ind_06,ind_07,ind_08,ind_09,ind_10,ind_11,ind_12,ind_13,ind_14,ind_15,ind_16,ind_17,ind_18,ind_19,ind_20,ind_21,ind_22,ind_23,ind_24,ind_25,ind_26,ind_27,ind_28,ind_29,year,canonical,ind_30,ind_31
73-80,Politechnika Morska w Szczecinie,,,1.24,7.81,47.41,33.02,61.42,31.22,6.98,23.26,8.68,0.0,27.19,26.63,10.23,17.89,29.36,27.47,30.34,32.81,42.19,43.37,37.75,6.3,73.65,18.86,27.54,0.0,4.98,46.47,7.58,2024,Politechnika Morska w Szczecinie,1.24,11.11
73-80,Uniwersytet Jana Długosza w Częstochowie,,,0.92,8.69,37.01,17.99,64.63,65.47,26.05,25.58,8.95,47.34,26.4,17.74,3.98,29.23,14.4,27.09,28.53,26.09,45.94,39.8,47.66,0.0,19.31,0.0,69.76,100.0,11.79,98.87,8.88,2024,,16.38,2.78
73-80,Uniwersytet Jana Kochanowskiego w Kielcach,,,1.74,15.83,40.26,34.02,56.94,67.61,41.86,34.86,6.49,0.0,36.93,33.32,7.0,33.0,27.95,34.45,23.07,24.11,35.31,35.2,54.86,4.72,13.97,6.55,45.96,0.0,9.5,37.5,7.57,2024,,7.56,11.11
73-80,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,,,2.14,10.36,43.87,45.59,57.3,63.58,29.77,41.97,6.58,76.57,39.0,25.88,0.34,27.18,25.09,26.02,21.8,21.34,37.5,33.67,53.84,0.0,16.73,0.0,46.26,0.0,12.04,36.79,7.14,2024,,12.69,5.56
73-80,Uniwersytet Papieski Jana Pawła II w Krakowie,,,3.69,6.49,41.81,47.35,64.59,91.58,17.67,49.12,1.76,0.0,0.65,41.87,0.0,54.07,40.97,7.65,5.29,14.23,21.56,27.81,61.42,1.57,18.84,2.96,16.77,0.0,1.65,24.79,18.39,2024,,8.4,5.56
73-80,Uniwersytet Pomorski w Słupsku,,,0.45,4.31,50.15,51.58,55.48,44.01,12.09,23.66,0.0,0.0,29.55,29.33,0.0,41.32,3.7,18.77,22.66,26.48,39.06,36.48,49.4,0.0,93.12,1.14,47.31,0.0,13.41,10.98,7.07,2024,,100.0,11.11
73-80,Uniwersytet WSB Merito w Poznaniu,,,2.05,0.0,58.14,49.3,68.93,15.16,4.19,0.0,0.0,0.0,20.22,14.98,6.5,28.04,0.0,53.06,46.01,50.99,56.25,56.89,6.46,11.02,21.05,7.82,35.03,0.0,1.36,31.19,1.39,2024,,0.64,38.89
81-90,Akademia Bialska im. Jana Pawła II,,,0.87,0.0,49.81,46.7,57.14,14.16,1.86,0.0,0.0,0.0,17.65,23.44,0.0,29.22,0.0,63.88,22.32,21.34,30.94,21.17,36.69,0.0,60.64,0.0,42.66,0.0,5.06,100.0,31.75,2024,,5.2,5.56
81-90,Akademia Humanitas w Sosnowcu,,,0.8,3.58,56.26,39.85,53.16,39.35,3.26,0.0,0.0,0.0,0.18,2.72,0.0,50.9,6.27,7.44,30.36,33.6,44.69,27.04,18.81,0.0,65.58,62.67,32.34,0.0,73.12,12.9,6.55,2024,,9.66,5.56
81-90,Akademia Katolicka w Warszawie,,,0.96,1.94,64.15,91.99,57.14,52.72,3.72,50.0,0.0,0.0,0.07,14.05,0.0,40.6,17.14,6.99,2.78,13.83,22.19,14.29,46.09,1.57,42.54,0.0,15.72,0.0,0.0,0.0,0.0,2024,,0.0,5.56
81-90,Krakowska Akademia im. Andrzeja Frycza Modrzewskiego,,,3.88,4.53,47.63,46.74,53.53,39.87,6.51,0.0,0.0,0.0,13.46,10.02,0.0,59.89,4.5,28.77,25.18,24.9,28.75,21.17,28.2,3.15,62.59,9.64,39.97,0.0,6.86,37.25,5.85,2024,,3.92,11.11
81-90,Uniwersytet Bielsko-Bialski,,,0.72,1.78,54.14,54.91,58.13,54.04,13.49,20.88,2.39,0.0,28.21,29.25,0.0,28.67,0.0,34.31,19.25,22.53,40.94,28.57,42.57,0.0,7.68,0.38,55.09,0.0,15.95,99.67,9.72,2024,Uniwersytet Bielsko-Bialski,3.78,2.78
81-90,Uniwersytet Dolnośląski DSW we Wrocławiu,,,1.79,5.86,50.26,48.14,71.43,40.3,6.05,0.0,0.0,0.0,11.58,45.76,0.0,18.74,0.0,18.21,23.15,26.09,34.06,61.22,9.52,0.0,26.57,9.82,49.85,0.0,21.62,79.28,2.72,2024,,1.51,11.11
81-90,Uniwersytet Ignatianum w Krakowie,,,3.12,6.24,38.96,41.29,66.21,52.78,11.63,65.63,0.0,0.0,12.01,36.16,8.7,19.65,22.34,11.45,23.36,22.13,24.06,44.13,44.52,1.57,6.33,0.0,19.16,0.0,13.62,62.98,7.41,2024,,9.57,5.56
81-90,Uniwersytet Komisji Edukacji Narodowej w Krakowie,,,1.98,11.26,42.27,37.9,60.04,57.48,42.33,52.04,0.68,0.0,37.61,29.76,0.7,36.78,19.76,19.94,21.55,24.9,34.69,42.35,31.94,6.3,9.21,0.12,51.2,0.0,15.52,69.18,14.65,2024,,6.51,8.33
81-90,Uniwersytet Radomski im. Kazimierza Pułaskiego,,,0.4,7.64,48.34,47.2,57.14,57.12,16.74,0.0,6.25,0.0,25.15,28.35,0.0,22.56,13.33,33.14,21.7,21.34,36.25,26.79,44.74,0.0,23.55,0.0,53.59,0.0,8.03,100.0,13.14,2024,Uniwersytet Radomski,5.59,5.56
81-90,Uniwersytet w Siedlcach,,,1.25,3.71,43.17,31.6,53.48,73.94,21.86,30.0,9.66,51.12,31.85,28.12,0.0,26.85,12.31,31.46,18.43,17.79,32.19,18.88,56.66,0.0,19.03,0.0,33.53,0.0,7.71,94.77,6.66,2024,,8.12,8.33
90+,Akademia Górnośląska im. Wojciecha Korfantego w Katowicach,,,1.63,3.68,48.58,49.17,57.14,36.24,2.33,0.0,0.0,0.0,0.02,15.0,0.0,0.0,11.35,0.65,28.05,71.15,21.56,0.0,21.95,0.0,22.92,16.63,25.0,0.0,7.92,99.01,8.1,2024,,8.69,8.33
90+,Akademia im. Jakuba z Paradyża,,,0.94,3.6,49.68,53.17,49.47,54.16,2.79,25.81,34.51,0.0,0.0,54.27,0.0,30.52,0.0,0.0,0.0,0.0,0.0,0.0,67.15,0.0,26.05,0.0,0.0,0.0,5.61,99.07,0.0,2024,,2.79,2.78
90+,Akademia Jagiellońska w Toruniu,,,1.07,0.0,52.08,54.28,57.14,57.19,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.99,0.0,0.0,0.0,0.0,0.0,44.21,0.0,100.0,100.0,0.0,0.0,100.0,25.0,0.0,2024,,0.0,2.78
90+,Akademia Kujawsko-Pomorska w Bydgoszczy,,,1.17,0.0,51.16,50.53,57.14,100.0,1.86,0.0,0.0,0.0,0.0,16.98,0.0,61.3,0.0,0.0,0.0,0.0,0.0,0.0,36.36,0.0,8.59,0.0,0.0,0.0,78.69,100.0,0.0,2024,,16.3,2.78
90+,Akademia Śląska w Katowicach,,,1.41,0.0,42.48,53.36,57.91,13.74,5.58,0.0,0.0,0.0,0.0,25.25,0.0,30.08,13.33,0.0,0.0,0.0,0.0,0.0,52.93,0.0,15.88,1.66,0.0,0.0,2.7,5.41,3.11,2024,,0.86,2.78
90+,Akademia Tarnowska,,,1.2,0.0,51.22,55.9,65.43,9.73,1.86,0.0,0.0,0.0,0.0,20.9,6.31,54.26,0.0,0.0,0.0,0.0,0.0,0.0,22.13,0.0,5.31,0.0,0.0,0.0,2.13,44.68,4.55,2024,,2.4,2.78
90+,Akademia Wymiaru Sprawiedliwości w Warszawie,,,0.03,0.0,15.53,16.27,71.43,14.7,1.86,0.0,0.0,0.0,0.0,14.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.48,0.0,32.03,0.0,0.0,0.0,100.0,0.0,0.0,2024,,0.0,19.44
90+,Lubelska Akademia WSEI,,,1.18,0.0,50.83,32.1,50.81,32.86,1.86,12.5,33.03,0.0,0.0,2.38,0.0,38.93,0.0,0.0,0.0,0.0,0.0,0.0,7.76,3.15,82.11,100.0,0.0,0.0,12.12,97.0,0.27,2024,,0.0,19.44
90+,Międzyn. Wyższa Szkoła Logistyki i Transportu we Wrocławiu,,,0.22,0.0,54.17,26.76,57.14,42.36,0.93,0.0,0.0,0.0,0.11,16.55,0.0,0.0,0.0,14.94,9.62,12.65,26.25,0.0,10.9,0.0,100.0,55.92,25.0,0.0,33.33,100.0,4.23,2024,,2.6,13.89
90+,Uniwersytet Kaliski im. Prezyd. Stanisława Wojciechowskiego,,,0.81,2.17,53.38,57.59,57.14,53.51,5.58,6.67,16.25,0.0,0.0,29.46,0.0,47.64,14.56,0.0,0.0,0.0,0.0,0.0,44.87,0.0,11.18,0.0,0.0,0.0,4.86,90.69,3.93,2024,,12.46,2.78
90+,Uniwersytet WSB Merito w Gdańsku,,,1.08,0.0,51.13,48.83,66.92,30.55,5.58,0.0,0.0,0.0,0.0,43.4,0.0,19.87,0.0,0.0,0.0,0.0,0.0,0.0,7.64,11.02,22.34,10.66,0.0,0.0,22.8,0.0,6.39,2024,,0.9,25.0
90+,Uniwersytet WSB Merito w Toruniu,,,0.74,0.0,59.25,49.8,57.14,11.4,1.86,0.0,0.0,0.0,0.0,45.37,0.0,10.93,0.0,0.0,0.0,0.0,0.0,0.0,6.79,0.0,15.96,13.19,0.0,0.0,0.0,14.95,0.58,2024,,0.07,19.44
1,Uniwersytet Warszawski,,100.0,84.46,95.29,63.52,77.8,77.58,86.44,86.1,100.0,1.86,13.35,78.47,88.47,100.0,37.02,39.26,50.3,34.43,41.99,72.82,63.68,100.0,29.03,31.16,62.13,100.0,30.48,56.43,51.83,42.75,2025,,73.53,
2,Uniwersytet Jagielloński w Krakowie,,98.82,100.0,100.0,61.31,67.16,71.68,80.02,97.76,89.22,3.17,58.06,100.0,72.11,58.29,50.14,55.37,55.62,40.66,47.24,66.92,75.16,64.46,43.59,22.68,58.63,100.0,21.0,29.12,42.46,32.85,2025,,94.12,
3,Politechnika Warszawska,,89.88,57.47,54.26,81.51,88.95,70.1,60.14,48.43,100.0,12.9,70.61,74.41,75.29,55.87,52.28,52.17,57.58,26.01,45.14,61.54,62.84,55.37,30.0,39.42,50.77,100.0,11.95,14.71,29.4,46.41,2025,Politechnika Warszawska,70.59,
4,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,,87.45,48.48,53.43,85.29,81.61,67.28,71.54,52.91,100.0,10.48,100.0,87.43,67.13,58.17,43.87,33.79,60.49,31.14,65.35,77.18,65.32,44.63,9.48,17.14,60.73,100.0,12.87,34.57,17.27,45.09,2025,AGH,17.65,
5,Politechnika Gdańska,,85.32,36.77,47.13,77.31,81.85,84.86,69.67,43.5,100.0,18.35,10.16,81.34,78.07,49.34,47.46,47.39,74.76,35.53,36.48,83.85,49.57,36.36,24.4,33.6,66.34,100.0,16.42,91.18,34.93,54.69,2025,Politechnika Gdanska,23.53,
6,Uniwersytet im. Adama Mickiewicza w Poznaniu,,81.42,74.9,50.84,56.51,65.94,73.76,94.16,77.13,70.2,4.57,9.31,71.73,73.43,38.45,35.63,37.97,39.61,30.77,34.65,74.62,65.42,53.72,28.4,14.02,53.72,100.0,25.1,23.16,28.4,32.43,2025,,41.18,
7,Politechnika Wrocławska,,80.06,44.82,39.54,86.85,79.87,77.95,55.1,46.64,100.0,13.97,30.89,79.26,68.97,45.03,46.24,52.3,54.24,26.74,32.55,57.69,59.64,23.14,23.72,22.93,53.72,100.0,10.85,58.31,24.23,42.01,2025,Politechnika Wroclawska,29.41,
8,Politechnika Poznańska,,78.21,23.62,32.44,79.95,79.4,76.73,60.95,32.29,82.35,24.83,92.56,72.31,55.49,52.91,47.56,57.32,61.95,27.84,36.48,53.85,49.58,25.62,20.83,28.2,46.56,100.0,10.12,100.0,26.77,34.79,2025,Politechnika Poznanska,26.47,
9,Politechnika Łódzka,,77.1,15.19,30.55,79.42,83.92,78.36,62.7,41.7,83.33,29.14,38.69,47.37,59.88,48.56,48.7,46.07,59.1,26.01,35.17,56.41,66.81,28.1,20.38,52.36,50.77,100.0,9.59,49.03,49.94,70.47,2025,Politechnika Lodzka,11.76,
10,Politechnika Śląska,,76.56,25.08,36.76,75.01,74.55,69.23,74.15,40.36,100.0,22.28,30.33,97.09,58.63,52.91,35.53,36.66,66.5,34.8,36.75,66.67,64.29,32.23,26.8,34.01,53.86,100.0,12.56,27.39,10.12,21.97,2025,Politechnika Slaska,29.41,
11,Uniwersytet Gdański,,75.46,39.41,34.89,57.89,68.07,63.05,65.4,65.92,86.98,6.78,35.52,81.14,68.23,61.2,46.28,47.48,36.31,29.67,35.7,72.31,53.21,33.88,11.02,26.41,59.19,100.0,15.42,100.0,31.98,36.51,2025,,17.65,
12=,Gdański Uniwersytet Medyczny,,74.94,21.1,29.77,73.44,76.08,59.07,68.93,10.76,51.25,3.18,32.67,42.86,56.17,27.62,72.75,68.29,65.88,55.31,42.52,54.87,83.91,22.31,46.72,43.03,53.02,100.0,2.98,40.85,19.37,23.42,2025,,38.24,
12=,Uniwersytet Medyczny w Łodzi,,74.77,11.28,32.09,79.17,74.34,70.13,55.41,10.76,62.5,3.71,0.0,45.76,100.0,38.62,64.66,73.08,100.0,64.1,55.38,46.41,72.17,13.22,30.42,30.9,46.56,0.0,1.75,23.86,12.83,7.73,2025,,52.94,
12=,Uniwersytet Medyczny w Białymstoku,,74.77,21.18,22.45,73.9,72.06,75.45,63.7,10.76,91.91,1.89,29.67,29.14,91.05,41.86,71.76,86.26,82.88,39.19,35.43,50.51,79.21,16.53,31.6,28.58,42.64,0.0,0.54,21.95,1.04,1.95,2025,,29.41,
12=,Szkoła Główna Handlowa w Warszawie,,74.65,27.35,12.49,100.0,94.86,57.14,68.93,10.31,47.66,0.0,0.0,75.06,75.09,51.22,17.18,30.99,25.17,30.4,31.5,41.54,54.23,61.98,39.77,34.93,40.39,100.0,4.26,30.32,100.0,81.78,2025,,29.41,
16,Warszawski Uniwersytet Medyczny,,74.42,21.25,35.22,76.33,72.5,71.43,63.28,10.76,69.7,2.19,31.25,63.6,66.33,31.26,67.99,78.31,95.34,52.01,40.16,46.67,76.48,13.22,29.8,26.93,46.14,0.0,2.77,10.78,22.82,18.05,2025,,52.94,
17=,Uniwersytet Wrocławski,,73.59,42.56,36.14,55.7,61.47,68.32,78.28,77.58,83.38,0.84,0.0,41.5,75.79,24.74,34.34,41.55,35.97,38.1,39.63,64.62,66.0,23.14,30.51,27.0,60.45,100.0,16.93,100.0,55.66,37.92,2025,,73.53,
17=,Akademia Leona Koźmińskiego w Warszawie,,73.3,29.86,14.41,78.81,81.57,63.69,53.11,10.76,57.81,0.0,0.0,55.76,50.84,39.19,27.91,15.03,45.97,41.03,39.11,69.23,23.02,54.55,46.39,72.31,68.86,100.0,36.07,100.0,70.45,62.12,2025,,29.41,
17=,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu,,73.23,18.51,45.64,78.47,59.36,71.43,49.55,10.76,37.89,3.93,5.89,51.16,58.78,26.9,67.77,79.1,91.57,54.21,32.55,56.41,91.61,13.22,49.95,43.27,50.07,0.0,0.76,40.54,21.58,24.45,2025,,44.12,
20,Uniwersytet Mikołaja Kopernika w Toruniu,,71.25,31.91,43.42,59.88,62.67,68.01,80.43,100.0,58.81,2.85,6.97,62.22,62.47,37.74,41.44,48.75,46.36,30.4,32.55,55.64,69.96,47.93,25.01,13.36,54.98,100.0,13.6,35.49,20.92,28.35,2025,,32.35,
21=,Uniwersytet Medyczny w Lublinie,,70.65,9.54,24.36,80.69,76.81,62.21,54.81,10.76,86.94,11.71,42.03,37.8,65.75,14.86,72.5,100.0,84.72,34.43,34.91,45.38,83.03,13.22,42.49,32.31,40.25,0.0,1.03,9.66,1.52,11.39,2025,,41.18,
21=,Politechnika Krakowska im. Tadeusza Kościuszki,,70.48,17.65,24.64,69.53,66.12,76.24,48.43,28.7,100.0,20.81,73.31,63.84,61.8,35.41,38.12,58.67,57.55,30.04,39.9,54.62,52.58,19.01,17.7,1.77,49.23,100.0,8.63,29.41,24.32,65.05,2025,Politechnika Krakowska,8.82,
23=,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,,69.52,17.12,28.39,75.29,77.44,61.19,75.16,10.76,50.79,0.17,0.0,49.35,55.52,27.38,68.56,80.22,82.02,46.15,37.01,46.15,93.34,16.53,34.58,31.16,45.16,0.0,3.11,10.11,11.6,10.32,2025,,35.29,
23=,Uniwersytet Łódzki,,69.18,25.48,25.36,59.43,69.41,62.97,74.35,69.51,53.86,10.06,0.0,82.82,74.8,45.33,35.63,49.0,36.44,24.91,37.27,56.41,57.4,24.79,33.74,11.67,49.09,100.0,14.65,67.58,32.84,63.91,2025,,41.18,
23=,Akademia WSB w Dąbrowie Górniczej,,69.1,2.07,6.51,70.07,76.37,76.91,60.85,8.97,16.36,0.0,0.0,64.85,66.8,16.14,68.22,62.9,64.97,45.42,49.08,34.1,9.89,27.27,93.67,90.81,85.55,0.0,28.42,96.17,28.7,23.51,2025,,61.76,
23=,Pomorski Uniwersytet Medyczny w Szczecinie,,69.04,6.04,18.38,72.19,70.24,73.75,78.95,9.42,50.0,5.46,0.0,25.5,77.23,14.74,66.38,75.7,76.25,84.62,70.87,45.9,60.94,0.0,40.95,42.95,41.37,0.0,2.52,17.61,4.66,4.37,2025,,20.59,
27=,Uniwersytet Przyrodniczy we Wrocławiu,,67.15,14.58,17.9,53.78,41.33,68.76,79.67,27.35,57.89,21.57,0.0,72.92,83.43,48.9,66.49,53.25,55.14,30.4,34.12,70.26,71.59,14.88,23.03,20.16,53.02,100.0,4.73,13.61,12.76,34.63,2025,,20.59,
27=,Uniwersytet Śląski w Katowicach,,67.12,21.25,23.92,52.28,50.12,69.13,85.63,78.92,62.85,26.89,25.4,73.83,73.08,42.74,31.96,43.6,37.4,24.91,36.48,62.56,67.51,14.88,17.44,12.03,49.65,100.0,10.51,100.0,20.09,25.98,2025,,17.65,
29=,Polsko-Japońska Akademia Technik Komputerowych w Warszawie,,66.52,4.04,7.71,95.94,72.28,62.94,17.56,7.17,41.18,0.0,0.0,20.59,50.12,71.9,66.64,93.74,76.24,26.37,30.45,37.44,8.18,4.96,100.0,86.97,53.44,100.0,22.45,73.47,6.46,0.73,2025,PJATK,29.41,
29=,Uniwersytet SWPS,,66.37,22.85,13.35,66.14,61.45,86.2,48.89,18.39,58.33,0.0,0.0,31.68,72.9,76.39,60.16,52.73,55.38,36.63,36.48,70.0,17.69,0.0,27.28,17.54,66.76,100.0,13.68,28.2,18.1,8.22,2025,,23.53,
29=,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,,66.33,19.26,32.54,63.31,69.98,59.96,76.87,39.46,59.88,5.4,0.0,96.58,68.45,42.44,36.77,32.99,45.77,34.43,35.96,55.13,57.36,16.53,28.49,20.57,47.69,100.0,6.31,46.72,21.01,35.88,2025,,44.12,
29=,Uniwersytet Opolski,,66.12,10.55,20.26,54.59,51.92,64.86,60.93,43.5,46.46,0.0,0.0,41.65,82.87,29.54,26.3,18.5,40.35,100.0,100.0,45.38,49.55,10.74,39.44,33.25,48.39,100.0,15.45,82.56,14.01,16.91,2025,,23.53,
33,Politechnika Lubelska,,65.14,5.67,17.47,65.61,62.61,82.19,48.55,18.39,57.82,100.0,30.27,60.32,65.31,15.71,38.08,46.03,64.25,24.91,41.73,36.92,51.26,2.48,47.08,0.0,52.59,0.0,5.22,84.18,15.94,72.3,2025,Politechnika Lubelska,5.88,
34,Śląski Uniwersytet Medyczny w Katowicach,,64.09,6.32,23.31,78.05,71.79,57.14,52.65,10.76,85.4,4.58,4.6,51.53,56.14,21.71,59.21,77.32,81.74,53.85,41.21,36.41,75.3,18.18,20.29,17.6,40.67,0.0,0.57,13.47,3.94,9.33,2025,,26.47,
35=,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,,62.95,7.93,17.33,70.62,62.93,64.44,83.95,39.46,37.37,22.1,18.64,67.88,51.23,33.04,39.04,40.34,48.84,31.87,34.38,47.69,83.67,5.79,24.46,0.68,40.53,100.0,2.87,47.06,17.09,73.73,2025,ZUT,5.88,
35=,Uniwersytet VIZJA,,62.85,1.78,16.85,67.89,76.6,60.71,54.47,8.97,19.57,0.0,0.0,67.71,27.37,0.0,43.34,3.27,38.87,85.35,68.77,100.0,5.12,3.31,100.0,72.56,100.0,0.0,100.0,9.36,1.48,6.85,2025,,82.35,
35=,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego w Warszawie,,62.54,9.39,12.3,77.13,77.58,61.47,38.97,23.77,100.0,5.49,20.82,28.9,68.32,40.56,34.75,49.14,51.92,19.78,32.81,48.46,100.0,20.66,7.05,1.44,32.96,0.0,1.29,20.65,25.69,17.36,2025,WAT,5.88,
35=,Uniwersytet Przyrodniczy w Poznaniu,,62.48,13.2,28.49,61.78,57.2,70.06,100.0,30.94,29.95,12.14,0.0,81.14,61.33,27.32,63.31,39.49,57.56,31.87,34.91,56.41,86.12,2.48,20.15,18.02,43.48,0.0,3.8,7.6,5.3,17.81,2025,,32.35,
39=,Uczelnia Łazarskiego w Warszawie,,60.97,5.16,6.08,76.44,75.18,73.92,39.3,7.62,0.0,0.0,0.0,17.48,59.68,23.82,100.0,26.06,51.72,41.03,30.71,38.46,20.98,3.31,100.0,63.2,35.9,0.0,23.53,100.0,17.59,29.47,2025,,23.53,
39=,Politechnika Opolska,,60.93,3.32,18.77,68.95,62.83,63.13,61.74,19.73,100.0,9.08,27.76,51.98,50.33,0.0,34.7,31.54,56.8,37.36,37.01,71.28,53.65,2.48,31.03,3.68,67.46,100.0,13.44,100.0,14.95,46.55,2025,Politechnika Opolska,8.82,
39=,Uniwersytet Ekonomiczny w Poznaniu,,60.48,15.81,10.84,70.32,79.16,57.14,82.19,7.17,34.9,0.0,0.0,66.82,81.33,18.11,20.51,31.95,29.06,30.04,35.7,60.26,40.05,42.98,33.68,12.23,42.64,0.0,4.23,64.27,16.69,36.91,2025,,14.71,
42,Społeczna Akademia Nauk w Łodzi,,60.35,0.75,7.8,63.1,67.1,63.55,21.04,3.14,0.0,0.0,0.0,46.86,45.89,41.57,29.62,0.0,62.16,59.71,56.96,99.23,10.07,3.31,62.93,100.0,98.46,0.0,33.77,100.0,13.2,5.71,2025,,20.59,
43=,Uniwersytet Ekonomiczny we Wrocławiu,,59.45,9.09,10.66,74.22,74.59,57.14,67.89,9.42,32.56,0.48,0.0,60.92,73.57,44.67,15.62,22.39,28.12,28.94,40.94,50.0,37.62,38.84,16.28,34.16,38.71,0.0,2.34,100.0,28.37,61.68,2025,,8.82,
43=,Uniwersytet Ekonomiczny w Krakowie,,58.96,11.06,11.93,71.11,74.93,58.57,52.06,12.56,44.44,1.41,0.0,68.6,57.67,23.35,32.25,45.79,18.8,35.9,44.09,50.77,28.27,45.45,26.17,31.01,37.31,0.0,2.6,100.0,28.02,27.1,2025,,20.59,
45=,Uniwersytet Warmińsko-Mazurski w Olsztynie,,58.94,18.43,27.78,58.63,42.16,62.21,78.77,69.96,32.01,4.95,0.0,87.19,61.38,24.09,32.71,33.1,43.33,39.93,35.43,51.79,63.45,29.75,10.65,7.21,39.83,100.0,5.16,1.03,11.12,13.56,2025,,23.53,
45=,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,,58.69,21.03,19.28,50.91,44.56,64.89,87.61,68.16,39.06,5.89,0.0,64.12,67.16,30.67,37.73,41.76,31.99,24.18,34.12,56.15,59.62,22.31,41.62,8.8,44.88,0.0,8.42,23.84,15.03,13.84,2025,,41.18,
45=,Akademia Finansów i Biznesu Vistula,,58.47,2.03,6.18,68.48,87.01,62.29,40.2,7.62,14.81,5.05,0.0,52.01,48.35,0.0,39.42,8.05,31.84,37.73,31.76,65.13,6.24,13.22,100.0,100.0,54.84,0.0,32.35,100.0,14.88,10.05,2025,,100.0,
48,Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach,,57.68,2.87,8.89,47.6,61.64,100.0,42.87,3.59,68.09,32.12,0.0,6.75,86.0,0.0,72.3,40.86,86.07,23.44,30.97,40.51,44.28,0.0,3.47,25.24,60.31,0.0,1.8,14.41,23.16,21.05,2025,,2.94,
49,Politechnika Białostocka,,56.79,6.55,13.54,64.2,58.75,61.24,60.11,26.46,81.6,8.04,0.0,61.77,50.9,10.78,29.27,34.53,52.07,24.54,32.28,42.31,48.78,17.36,16.71,3.54,41.8,100.0,5.1,77.96,40.8,100.0,2025,Politechnika Bialostocka,11.76,
50=,Politechnika Częstochowska,,55.61,3.95,14.02,66.77,49.13,55.79,69.43,22.87,43.84,11.95,8.51,63.15,55.4,25.06,24.31,28.3,58.78,24.54,32.55,30.51,81.24,9.92,51.21,7.41,51.75,0.0,5.41,46.62,6.8,69.07,2025,Politechnika Czestochowska,14.71,
50=,Katolicki Uniwersytet Lubelski Jana Pawła II,,55.52,18.24,13.74,50.06,29.69,75.77,84.75,42.6,46.65,3.22,0.0,33.76,82.8,0.0,28.99,45.11,28.58,29.67,38.06,44.1,72.97,6.61,32.43,3.88,27.07,0.0,11.22,100.0,29.62,29.06,2025,,11.76,
50=,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie,,55.43,10.83,17.69,55.37,29.82,66.83,96.15,32.29,39.58,10.73,8.55,75.46,44.4,20.64,41.31,37.62,48.4,31.14,35.17,69.23,78.91,0.0,8.66,1.42,46.84,0.0,5.16,47.06,21.78,45.69,2025,,5.88,
50=,Uniwersytet Zielonogórski,,55.17,13.12,20.15,66.42,60.1,63.22,62.52,58.3,14.95,5.33,0.0,53.69,57.98,37.39,29.76,19.56,42.82,39.93,32.55,50.51,65.25,0.0,10.98,1.73,61.85,0.0,10.99,46.15,10.91,21.29,2025,,5.88,
50=,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,,55.12,15.13,9.43,57.77,61.45,67.06,82.24,47.09,61.03,0.53,0.0,36.37,88.37,0.0,48.6,35.93,30.24,38.46,39.63,43.33,48.09,0.0,9.01,0.47,45.58,0.0,8.4,61.62,21.72,9.98,2025,,5.88,
55-60,Akademia Pożarnicza w Warszawie,,,1.33,7.07,85.31,100.0,83.91,31.97,4.48,0.0,2.76,0.0,51.8,70.53,59.74,32.64,39.35,31.86,20.88,28.61,36.15,37.99,0.0,0.65,0.0,27.07,0.0,3.01,0.0,0.0,1.07,2025,,0.0,
55-60,Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich,,,3.7,10.4,69.04,63.74,61.76,51.35,25.11,20.0,25.31,43.87,63.29,51.52,38.11,36.56,30.79,46.05,27.11,32.02,45.13,53.97,3.31,4.81,0.0,47.55,0.0,5.8,46.38,6.79,46.29,2025,Politechnika Bydgoska,5.88,
55-60,Uniwersytet Civitas w Warszawie,,,3.16,5.79,66.86,80.88,57.14,35.88,3.14,0.0,0.0,0.0,50.71,34.44,35.63,44.67,6.43,34.81,30.04,28.08,68.97,17.4,0.0,100.0,50.6,43.62,0.0,45.57,35.44,31.02,87.9,2025,,17.65,
55-60,Uniwersytet Ekonomiczny w Katowicach,,,6.19,10.02,64.85,74.08,57.14,60.83,7.17,51.49,0.0,0.0,56.66,47.16,29.91,20.79,24.37,21.08,44.69,40.94,41.79,31.99,24.79,10.16,26.64,34.64,100.0,0.9,100.0,32.93,22.11,2025,,2.94,
55-60,Uniwersytet Szczeciński,,,7.28,14.28,52.5,60.02,64.05,72.94,56.5,42.53,0.79,0.0,70.49,48.92,44.05,30.41,43.78,31.13,29.3,30.71,44.62,56.68,4.96,24.06,21.79,38.99,0.0,11.59,58.8,16.86,44.83,2025,,11.76,
